id,description,url,district,street,house_nr,zip,town
245,Sportplatz Elchdamm,,Reinickendorf,Elchdamm,171,13503,Berlin
246,Sportplatz Finsterwalder Straße,,Reinickendorf,Finsterwalder Straße,58,13435,Berlin
247,Sportplatz Freiheitsweg,,Reinickendorf,Freiheitsweg,20,13407,Berlin
248,Sportplatz Göschenstraße,,Reinickendorf,Göschenstraße,7,13437,Berlin
249,Sportplatz Hatzfeldtallee,,Reinickendorf,Hatzfeldtallee,33,13509,Berlin
250,Sportplatz Kienhorststraße,,Reinickendorf,Kienhorststraße,170,13403,Berlin
251,Sportplatz Ollenhauer Straße,,Reinickendorf,Ollenhauer Straße,64,13403,Berlin
252,Sportplatz Schluchseestraße,,Reinickendorf,Schluchseestraße,68,13469,Berlin
253,Sportplatz Seebadstraße,,Reinickendorf,Am Ried,3,13467,Berlin
254,Sportplatz Städt Reinickendorf,,Reinickendorf,Heidenheimer Straße,53,13467,Berlin
255,Sportplatz Tietzstraße,,Reinickendorf,Tietzstraße,41,13509,Berlin
256,Sportplatz Welzower Steig,,Reinickendorf,Königshorster Straße,13,13439,Berlin
257,Stadion Lichterfelde,https://www.berlin.de/ba-steglitz-zehlendorf/politik-und-verwaltung/aemter/schul-und-sportamt/sport/artikel.109623.php,Steglitz-Zehlendorf,Ostpreußendamm,3,12207,Berlin
259,Stadtbad Mitte,https://www.berlin.de/special/sport-und-fitness/adressen/schwimmbad/stadtbad-mitte-4f143a5cb4fc475f0b341f00.html,Mitte,Gartenstraße,5,10115,Berlin
260,Stadtbad Tiergarten,https://www.berlin.de/special/sport-und-fitness/adressen/schwimmbad/stadtbad-tiergarten-4f143a00b4fc475f0b8d1000.html,Mitte,Seydlitzstraße,7,10557,Berlin
261,Stadtbad Wilmersdorf,https://www.berlin.de/special/sport-und-fitness/adressen/schwimmbad/stadtbad-wilmersdorf-i-4f143a00b4fc475f0b8c1000.html,Charlottenburg-Wilmersdorf,Mecklenburgische Straße,80,10713,Berlin
262,Torstraße ,https://www.berlin.de/special/shopping/einkaufsmeilen/1761564-1724955-torstrasse.html,Mitte,Torstraße,139,10119,Berlin
263,Ulmen-Grundschule,https://www.berlin.de/special/jobs-und-ausbildung/adressen/grundschule/ulmengrundschule-4f143f31b4fc475f0b1c7e00.html,Marzahn-Hellersdorf,Ulmenstraße,79,12621,Berlin
264,Verwaltungsakadmie,https://www.berlin.de/vak/,Mitte,Turmstraße,86,10559,Berlin
265,Volksbühne Berlin,https://www.berlin.de/tickets/theater/tipps/buehnen/2225122-2903274-volksbuehne.html,Mitte,Linienstraße,227,10178,Berlin
266,Volkshochschule Berlin Lichtenberg,https://www.berlin.de/vhs/volkshochschulen/lichtenberg/,Lichtenberg,Paul-Junius-Straße,71,10369,Berlin
267,Volkshochschule (Fried.-Kreuz.),https://www.berlin.de/vhs/volkshochschulen/friedrichshain-kreuzberg/,Friedrichshain-Kreuzberg,Wassertorstraße,4,10969,Berlin
268,Volkshochschule Marzahn-Hellersdorf,https://www.berlin.de/vhs/volkshochschulen/marzahn-hellersdorf/,Marzahn-Hellersdorf,Mark-Twain-Straße,27,12627,Berlin
269,Volkshochschule Mitte 1,https://www.berlin.de/vhs/volkshochschulen/mitte/,Mitte,Linienstraße,162,10115,Berlin
270,Volkshochschule Mitte 2,https://www.berlin.de/vhs/volkshochschulen/mitte/,Mitte,Antonstraße,37,13347,Berlin
271,Volkshochschule Neukölln (Elfriede-Kuhr-Straße),https://www.berlin.de/vhs-neukoelln/unterrichtsorte/,Neukölln,Elfriede-Kuhr-Straße,11,12355,Berlin
272,Volkshochschule Neukölln (Karlsgartenstraße),https://www.berlin.de/vhs-neukoelln/unterrichtsorte/,Neukölln,Karlsgartenstraße,6,12049,Berlin
273,Volkshochschule Neukölln (Werbellinstraße),https://www.berlin.de/vhs-neukoelln/unterrichtsorte/,Neukölln,Werbellinstraße,77,12053,Berlin
274,Volkshochschule Steglitz-Zehlendorf,https://www.berlin.de/vhs/volkshochschulen/steglitz-zehlendorf/,Steglitz-Zehlendorf,Onkel-Tom-Straße,14,14169,Berlin
275,Werk 9,,Mitte,Markgrafenstraße,26,10117,Berlin
276,Wichura-Club,,Steglitz-Zehlendorf,Wichurastraße,59,12249,Berlin
277,Wilmersdorfer Arcaden,https://www.berlin.de/special/shopping/einkaufscenter/1999137-1724954-wilmersdorfer-arcaden.html,Charlottenburg-Wilmersdorf,Wilmersdorfer Straße,46,10627,Berlin
278,WISTA Hauptgebäude 12.2,https://www.berlin.de/sen/wirtschaft/wirtschaft/technologiezentren-zukunftsorte-smart-city/zukunftsorte/adlershof/artikel.109390.php,Treptow-Köpenick,"Rudower Chaussee 17-19,",17,12489,Berlin
279,Zentrum für Biotechnologie und Umwelt 1,,Treptow-Köpenick,Volmerstraße,7,12489,Berlin
280,Zentrum für Biotechnologie und Umwelt 2,,Treptow-Köpenick,Magnusstraße,11,12489,Berlin
281,Zentrum für IT und Medien,,Treptow-Köpenick,Albert-Einstein-Straße,14,12489,Berlin
282,Zentrum für Photovoltaik und Erneuerbare Energien,,Treptow-Köpenick,Johann-Hittorf-Straße,8,12489,Berlin
283,Zeiss-Großplanetarium,https://www.berlin.de/museum/3108981-2926344-zeissgrossplanetarium.html,Pankow,Prenzlauer Allee,80,10405,Berlin
284,Märkisches Zentrum - Marktplatz,https://www.berlin.de/special/shopping/einkaufscenter/1998459-1724954-maerkisches-zentrum.html,Reinickendorf,Senftenberger Ring,13,13439,Berlin
285,Wohnhaus Gerichtstraße 12 (Gesobau),,Mitte,Gerichtstraße,12,13347,Berlin
286,Wohnhaus Uferstraße 19 (Gesobau),,Mitte,Uferstraße,19,13357,Berlin
287,Wohnhaus Zechliner Straße 8 (Gesobau),,Mitte,Zechliner Straße,8,13359,Berlin
288,Wohnhaus Wiesenstraße 62 (Gesobau),,Mitte,Wiesenstraße,62,13357,Berlin
289,Wohnhaus Sparrstraße 19 (Gesobau),,Mitte,Sparrstraße,19,13353,Berlin
290,Wohnhaus Luxemburger Straße 5 (Gesobau),,Mitte,Luxemburger Straße,5,13353,Berlin
291,Wohnhaus Hildegartstraße 9 (Gesobau),,Charlottenburg-Wilmersdorf,Hildegartstraße,9,10715,Berlin
292,Wohnhaus Luxemburger Straße 1 (Gesobau),,Mitte,Luxemburger Straße,1,13353,Berlin
293,Wohnhaus Schwyzer Straße 13 (Gesobau),,Mitte,Schwyzer Straße,13,13349,Berlin
294,Wohnhaus Gartenplatz 4 (Gesobau),,Mitte,Gartenplatz,4,13355,Berlin
295,Wohnhaus Maxstraße 11 (Gesobau),,Mitte,Maxstraße,11,13347,Berlin
296,Wohnhaus Buttmannstraße 15 (Gesobau),,Mitte,Buttmannstraße,15,13357,Berlin
297,Wohnhaus Gartenstraße 63 (Gesobau),,Mitte,Gartenstraße,63,13355,Berlin
298,Wohnhaus Schönwalderstraße 1 (Gesobau),,Spandau,Schönwalderstraße,1,13585,Berlin
299,Wohnhaus Nazarethkirchstraße 49a (Gesobau),,Mitte,Nazarethkirchstraße,49a,13347,Berlin
300,Wohnhaus Schulstraße 5 (Gesobau),,Mitte,Schulstraße,5,13347,Berlin
301,Wohnhaus Stockholmer Straße 24 (Gesobau),,Mitte,Stockholmer Straße,24,13359,Berlin
